SiO2,TiO2,Al2O3,Cr2O3,Fetot,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,Fe3+/Fetot
55.04,0.0001,2.42,1.76,2.16,0.09,16.78,19.52,2.05,,,0.08,,,0.234
55.14,0.03,2.46,1.6,2.48,0.09,16.98,19.68,1.99,,,0.08,,,0.189
55.04,0.11,2.57,2.03,2.21,0.12,16.28,18.85,2.31,,,0.03,,,0.235
54.44,0.09,2.26,2.08,2.03,0.12,16.39,19.53,2.02,,,0.07,,,0.234
54.7,0.05,2.34,1.61,2.4,0.08,16.4,19.65,1.95,,,0.08,,,0.245
55.16,0.12,2.45,1.67,2.2,0.04,16.61,19.49,2.09,,,0.05,,,0.207
55.07,0.31,2.64,2.04,2.22,0.11,16.4,19.24,2.36,,,0.09,,,0.263
55.6,0.11,1.77,0.78,3.47,0.18,19.48,17.49,1.24,,,0.07,,,0.136
55.35,0.25,2.24,1.52,3.03,0.13,18.87,16.45,1.94,,,0.08,,,0.168
55.6,0.34,2.58,0.62,3.85,0.1,18.25,17.76,1.9,,,0.11,,,0.152
55.4,0.46,2.15,0.7,3.88,0.11,19.42,16.88,1.49,,,0.1,,,0.159
54.47,0.06,3.16,2.58,2.19,0.07,15.6,17.77,2.84,,,,,,0.314
54.86,0.03,2.57,2.04,2.13,0.07,16.61,19.16,2.29,,,0.04,,,0.219
55.08,0.33,2.63,2.24,2.67,0.08,16.65,18.13,2.29,,,0.0001,,,0.23
54.6,0.0001,1.74,1.55,1.93,0.07,17.72,20.75,1.42,,,0.05,,,0.166
54.51,0.13,2.99,2.56,2.03,0.08,15.47,19.22,2.85,,,0.06,,,0.367
54.3,0.0001,1.82,1.43,2.11,0.06,17.2,20.47,1.42,,,,,,0.145
55.05,0.04,1.58,1.76,1.92,0.08,17.75,21.02,1.46,,,0.04,,,0.19
54.59,0.02,1.94,1.51,2.08,0.08,16.93,19.91,1.79,,,0.08,,,0.15
41.97,0.04,20.48,3.96,6.61,0.33,20.94,4.96,0.05,,,0.03,,,0.048
